# Program:featureCounts v1.6.4; Command:"featureCounts" "-M" "--fraction" "-t" "gene" "-g" "ID" "-s" "0" "-a" "/pub37/alexp/data/TRADIS/v2_WY_macro/D7795_v3_2018.tradis.gff" "-o" "D7795_output_MAC_1.deseq.fc.tsv" "D7795_output_MAC_1.deseq.bam" 
Geneid	Chr	Start	End	Strand	Length	D7795_output_MAC_1.deseq.bam
D7795_02851	D7795_v1_chr	2633768	2635036	-	1269	270
D7795_02852	D7795_v1_chr	2635104	2636285	-	1182	427
D7795_02853	D7795_v1_chr	2636568	2637635	-	1068	217
D7795_02854	D7795_v1_chr	2637843	2639306	+	1464	64
D7795_02855	D7795_v1_chr	2639346	2639705	+	360	19
D7795_02856	D7795_v1_chr	2639732	2640457	-	726	2
D7795_02857	D7795_v1_chr	2640528	2641817	-	1290	201
D7795_02858	D7795_v1_chr	2641905	2642531	-	627	29
D7795_02859	D7795_v1_chr	2642944	2643981	+	1038	5
D7795_02860	D7795_v1_chr	2643981	2644619	+	639	41
D7795_02861	D7795_v1_chr	2644808	2646874	+	2067	798
D7795_02862	D7795_v1_chr	2646879	2648420	+	1542	309
D7795_02863	D7795_v1_chr	2648456	2650669	-	2214	1458
D7795_02864	D7795_v1_chr	2650766	2650903	-	138	0
D7795_02865	D7795_v1_chr	2650974	2651213	-	240	38
D7795_02866	D7795_v1_chr	2651082	2651273	+	192	0
D7795_02867	D7795_v1_chr	2651358	2651459	+	102	0
D7795_02868	D7795_v1_chr	2651425	2651658	-	234	25
D7795_02869	D7795_v1_chr	2651982	2652296	+	315	200
D7795_02870	D7795_v1_chr	2652316	2652603	-	288	120
D7795_02871	D7795_v1_chr	2652826	2654403	-	1578	1
D7795_02872	D7795_v1_chr	2654473	2655939	-	1467	22
D7795_02873	D7795_v1_chr	2656100	2657449	+	1350	366
D7795_02874	D7795_v1_chr	2657611	2663520	-	5910	2171
D7795_02875	D7795_v1_chr	2664181	2671488	-	7308	3228
D7795_02876	D7795_v1_chr	2671654	2677233	-	5580	2141
D7795_02877	D7795_v1_chr	2677371	2678330	-	960	342
D7795_02878	D7795_v1_chr	2678388	2680268	-	1881	328
D7795_02879	D7795_v1_chr	2680778	2680999	-	222	25
D7795_02880	D7795_v1_chr	2681088	2682560	-	1473	0
D7795_02881	D7795_v1_chr	2682679	2683857	-	1179	18
D7795_02882	D7795_v1_chr	2683868	2684488	-	621	16
D7795_02883	D7795_v1_chr	2684502	2685776	-	1275	1
D7795_02884	D7795_v1_chr	2685887	2687005	-	1119	0
D7795_02885	D7795_v1_chr	2687032	2688036	-	1005	68
D7795_02886	D7795_v1_chr	2688328	2689494	-	1167	456
D7795_02887	D7795_v1_chr	2689701	2690132	-	432	16
D7795_02888	D7795_v1_chr	2690253	2691116	-	864	124
D7795_02889	D7795_v1_chr	2691116	2691925	-	810	744
D7795_02890	D7795_v1_chr	2691918	2692547	-	630	85
D7795_02891	D7795_v1_chr	2692544	2694247	-	1704	437
D7795_02892	D7795_v1_chr	2694244	2694849	-	606	434
D7795_02893	D7795_v1_chr	2695005	2697320	-	2316	800
D7795_02894	D7795_v1_chr	2697321	2702255	-	4935	1082
D7795_02895	D7795_v1_chr	2702464	2703306	+	843	244
D7795_02896	D7795_v1_chr	2703286	2703510	-	225	129
D7795_02897	D7795_v1_chr	2703552	2704220	+	669	377
D7795_02898	D7795_v1_chr	2704311	2704408	-	98	2
D7795_02899	D7795_v1_chr	2704492	2704785	+	294	39
D7795_02900	D7795_v1_chr	2704789	2705565	-	777	106
D7795_02901	D7795_v1_chr	2705580	2705759	+	180	0
D7795_02902	D7795_v1_chr	2705675	2706958	-	1284	350
D7795_02903	D7795_v1_chr	2707136	2707336	-	201	51
D7795_02904	D7795_v1_chr	2707348	2707683	-	336	4
D7795_02905	D7795_v1_chr	2707685	2709535	-	1851	39
D7795_02906	D7795_v1_chr	2709548	2710063	-	516	6
D7795_02907	D7795_v1_chr	2710259	2710582	-	324	11
D7795_02908	D7795_v1_chr	2710611	2710997	-	387	6
D7795_02909	D7795_v1_chr	2711025	2712239	-	1215	1
D7795_02910	D7795_v1_chr	2712420	2712914	-	495	81
D7795_02911	D7795_v1_chr	2713074	2713805	-	732	203
D7795_02912	D7795_v1_chr	2713924	2714727	+	804	45
D7795_02913	D7795_v1_chr	2714872	2715750	+	879	647
D7795_02914	D7795_v1_chr	2715932	2716975	+	1044	461
D7795_02915	D7795_v1_chr	2716979	2717797	+	819	321
D7795_02916	D7795_v1_chr	2717808	2718821	+	1014	374
D7795_02917	D7795_v1_chr	2718822	2719808	-	987	254
D7795_02918	D7795_v1_chr	2719799	2720437	-	639	171
D7795_02919	D7795_v1_chr	2720563	2721840	+	1278	253
D7795_02920	D7795_v1_chr	2721835	2722974	-	1140	217
D7795_02921	D7795_v1_chr	2723170	2724423	-	1254	5
D7795_02922	D7795_v1_chr	2724748	2725938	+	1191	116
D7795_02923	D7795_v1_chr	2726120	2727664	+	1545	1339
D7795_02924	D7795_v1_chr	2728025	2729356	+	1332	1023
D7795_02925	D7795_v1_chr	2729439	2731583	+	2145	689
D7795_02926	D7795_v1_chr	2731639	2733099	+	1461	239
D7795_02927	D7795_v1_chr	2733148	2733486	-	339	29
D7795_02928	D7795_v1_chr	2733563	2734900	-	1338	212
D7795_02929	D7795_v1_chr	2734897	2735583	-	687	110
D7795_02930	D7795_v1_chr	2735663	2737048	-	1386	134
D7795_02931	D7795_v1_chr	2737153	2737336	-	184	69
D7795_02932	D7795_v1_chr	2737743	2741630	-	3888	66
D7795_02933	D7795_v1_chr	2741886	2743430	+	1545	253
D7795_02934	D7795_v1_chr	2743481	2743999	-	519	0
D7795_02935	D7795_v1_chr	2744057	2744692	-	636	210
D7795_02936	D7795_v1_chr	2744696	2746057	-	1362	47
D7795_02937	D7795_v1_chr	2746068	2746961	-	894	230
D7795_02938	D7795_v1_chr	2747077	2747925	+	849	111
D7795_02939	D7795_v1_chr	2747964	2748881	-	918	1316
D7795_02940	D7795_v1_chr	2748903	2750099	-	1197	91
D7795_02941	D7795_v1_chr	2750215	2751141	+	927	531
D7795_02942	D7795_v1_chr	2751179	2751439	+	261	106
D7795_02943	D7795_v1_chr	2751551	2751931	-	381	0
D7795_02944	D7795_v1_chr	2751931	2752662	-	732	0
D7795_02945	D7795_v1_chr	2752674	2753402	-	729	161
D7795_02946	D7795_v1_chr	2753414	2754319	-	906	0
D7795_02947	D7795_v1_chr	2754316	2755053	-	738	0
D7795_02948	D7795_v1_chr	2755270	2756244	-	975	0
D7795_02949	D7795_v1_chr	2756261	2758060	-	1800	52
D7795_02950	D7795_v1_chr	2758311	2758790	-	480	5
D7795_02951	D7795_v1_chr	2758787	2759743	-	957	277
D7795_02952	D7795_v1_chr	2759743	2760393	-	651	0
D7795_02953	D7795_v1_chr	2760425	2761000	-	576	0
D7795_02954	D7795_v1_chr	2761426	2763048	+	1623	560
D7795_02955	D7795_v1_chr	2763033	2763770	-	738	48
D7795_02956	D7795_v1_chr	2763900	2765234	+	1335	138
D7795_02957	D7795_v1_chr	2765252	2766151	-	900	320
D7795_02958	D7795_v1_chr	2766254	2766841	+	588	139
D7795_02959	D7795_v1_chr	2766903	2767286	-	384	44
D7795_02960	D7795_v1_chr	2767605	2768294	+	690	228
D7795_02961	D7795_v1_chr	2768410	2769447	-	1038	285
D7795_02962	D7795_v1_chr	2769651	2770070	+	420	171
D7795_02963	D7795_v1_chr	2770143	2770823	+	681	85
D7795_02964	D7795_v1_chr	2770877	2773537	+	2661	585
D7795_02965	D7795_v1_chr	2773627	2773668	+	42	0
D7795_02966	D7795_v1_chr	2773652	2775007	+	1356	0
D7795_02967	D7795_v1_chr	2775052	2775375	+	324	33
D7795_02968	D7795_v1_chr	2775372	2776673	-	1302	200
D7795_02969	D7795_v1_chr	2776777	2777232	-	456	35
D7795_02970	D7795_v1_chr	2777444	2777554	-	111	5
D7795_02971	D7795_v1_chr	2777755	2780656	-	2902	1302
D7795_02972	D7795_v1_chr	2780852	2780927	-	76	61
D7795_02973	D7795_v1_chr	2781014	2782551	-	1538	585
D7795_02974	D7795_v1_chr	2783010	2785583	-	2574	126
D7795_02975	D7795_v1_chr	2785713	2786444	-	732	140
D7795_02976	D7795_v1_chr	2786441	2787421	-	981	49
D7795_02977	D7795_v1_chr	2787553	2788290	+	738	0
D7795_02978	D7795_v1_chr	2788291	2788381	-	91	0
D7795_02979	D7795_v1_chr	2788562	2788900	+	339	60
D7795_02980	D7795_v1_chr	2788787	2788945	+	159	3
D7795_02981	D7795_v1_chr	2788985	2789126	+	142	13
D7795_02982	D7795_v1_chr	2789151	2790311	+	1161	503
D7795_02983	D7795_v1_chr	2790272	2791180	-	909	1
D7795_02984	D7795_v1_chr	2791144	2791218	+	75	0
D7795_02985	D7795_v1_chr	2791238	2792359	-	1122	133
D7795_02986	D7795_v1_chr	2792369	2793439	-	1071	239
D7795_02987	D7795_v1_chr	2793879	2794397	+	519	907
D7795_02988	D7795_v1_chr	2794390	2795610	+	1221	936
D7795_02989	D7795_v1_chr	2795767	2796114	-	348	0
D7795_02990	D7795_v1_chr	2796155	2796922	-	768	0
D7795_02991	D7795_v1_chr	2796967	2797515	-	549	0
D7795_02992	D7795_v1_chr	2797534	2797782	-	249	0
D7795_02993	D7795_v1_chr	2798035	2799396	-	1362	0
D7795_02994	D7795_v1_chr	2799562	2800353	+	792	146
D7795_02995	D7795_v1_chr	2800418	2801659	+	1242	547
D7795_02996	D7795_v1_chr	2801579	2801683	+	105	58
D7795_02997	D7795_v1_chr	2801780	2802385	+	606	70
D7795_02998	D7795_v1_chr	2802420	2803202	-	783	0
D7795_02999	D7795_v1_chr	2803248	2804012	+	765	1
D7795_03000	D7795_v1_chr	2804098	2805759	+	1662	166
D7795_03001	D7795_v1_chr	2805908	2806246	+	339	10
D7795_03002	D7795_v1_chr	2806412	2806702	-	291	30
D7795_03003	D7795_v1_chr	2806692	2807129	-	438	20
D7795_03004	D7795_v1_chr	2807273	2807800	+	528	49
D7795_03005	D7795_v1_chr	2808415	2819889	+	11475	3026
D7795_03006	D7795_v1_chr	2819891	2820235	-	345	0
D7795_03007	D7795_v1_chr	2819954	2821363	+	1410	427
D7795_03008	D7795_v1_chr	2820813	2820872	-	60	0
D7795_03009	D7795_v1_chr	2821360	2823540	+	2181	494
D7795_03010	D7795_v1_chr	2823521	2824711	+	1191	225
D7795_03011	D7795_v1_chr	2824783	2825145	+	363	6
D7795_03012	D7795_v1_chr	2824809	2824946	+	138	0
D7795_03013	D7795_v1_chr	2825242	2825625	+	384	130
D7795_03014	D7795_v1_chr	2825951	2827051	-	1101	196
D7795_03015	D7795_v1_chr	2827048	2827533	-	486	116
D7795_03016	D7795_v1_chr	2827530	2830307	-	2778	878
D7795_03017	D7795_v1_chr	2830434	2830736	-	303	0
D7795_03018	D7795_v1_chr	2830791	2831306	-	516	93
D7795_03019	D7795_v1_chr	2831316	2832488	-	1173	479
D7795_03020	D7795_v1_chr	2832591	2833148	-	558	133
D7795_03021	D7795_v1_chr	2833178	2834170	+	993	1140
D7795_03022	D7795_v1_chr	2834170	2834757	+	588	824
D7795_03023	D7795_v1_chr	2834761	2835300	-	540	497
D7795_03024	D7795_v1_chr	2835303	2837231	-	1929	1582
D7795_03025	D7795_v1_chr	2837228	2837833	-	606	48
D7795_03026	D7795_v1_chr	2837826	2838734	-	909	160
D7795_03027	D7795_v1_chr	2838721	2839080	-	360	92
D7795_03028	D7795_v1_chr	2839077	2839655	-	579	180
D7795_03029	D7795_v1_chr	2839724	2840170	-	447	183
D7795_03030	D7795_v1_chr	2840163	2840594	-	432	151
D7795_03031	D7795_v1_chr	2840557	2840847	-	291	0
D7795_03032	D7795_v1_chr	2840900	2841115	-	216	0
D7795_03033	D7795_v1_chr	2841115	2841492	-	378	75
D7795_03034	D7795_v1_chr	2841497	2842006	-	510	202
D7795_03035	D7795_v1_chr	2841987	2842202	-	216	58
D7795_03036	D7795_v1_chr	2842206	2842409	-	204	79
D7795_03037	D7795_v1_chr	2842409	2842873	-	465	179
D7795_03038	D7795_v1_chr	2842967	2843617	-	651	143
D7795_03039	D7795_v1_chr	2843621	2844685	-	1065	276
D7795_03040	D7795_v1_chr	2844702	2845535	-	834	351
D7795_03041	D7795_v1_chr	2845678	2847444	+	1767	279
D7795_03042	D7795_v1_chr	2847444	2848487	+	1044	144
D7795_03043	D7795_v1_chr	2848538	2848876	-	339	2
D7795_03044	D7795_v1_chr	2848876	2849856	-	981	460
D7795_03045	D7795_v1_chr	2850233	2850973	+	741	449
D7795_03046	D7795_v1_chr	2851102	2851335	-	234	180
D7795_03047	D7795_v1_chr	2851347	2851535	-	189	40
D7795_03048	D7795_v1_chr	2851691	2854102	-	2412	861
D7795_03049	D7795_v1_chr	2854093	2854950	-	858	573
D7795_03050	D7795_v1_chr	2854947	2855531	-	585	133
D7795_03051	D7795_v1_chr	2855528	2855755	-	228	175
D7795_03052	D7795_v1_chr	2855755	2855988	-	234	186
D7795_03053	D7795_v1_chr	2856056	2856397	-	342	136
D7795_03054	D7795_v1_chr	2856361	2856561	-	201	54
D7795_03055	D7795_v1_chr	2856569	2857078	-	510	197
D7795_03056	D7795_v1_chr	2857111	2857353	-	243	44
D7795_03057	D7795_v1_chr	2857473	2858105	+	633	1
D7795_03058	D7795_v1_chr	2858109	2859134	+	1026	444
D7795_03059	D7795_v1_chr	2859394	2859987	+	594	346
D7795_03060	D7795_v1_chr	2860386	2861189	+	804	388
D7795_03061	D7795_v1_chr	2861969	2863175	-	1207	575
D7795_03062	D7795_v1_chr	2862689	2862831	+	143	0
D7795_03063	D7795_v1_chr	2863160	2863555	+	396	225
D7795_03064	D7795_v1_chr	2864181	2865296	+	1116	339
D7795_03065	D7795_v1_chr	2865377	2869033	+	3657	774
D7795_03066	D7795_v1_chr	2869143	2870387	+	1245	438
D7795_03067	D7795_v1_chr	2870419	2871348	+	930	456
D7795_03068	D7795_v1_chr	2871390	2873564	-	2175	1122
D7795_03069	D7795_v1_chr	2874096	2874407	-	312	288
D7795_03070	D7795_v1_chr	2874603	2875655	-	1053	2046
D7795_03071	D7795_v1_chr	2875727	2876065	+	339	245
D7795_03072	D7795_v1_chr	2876174	2877103	+	930	2856
D7795_03073	D7795_v1_chr	2877397	2878293	+	897	1125
D7795_03074	D7795_v1_chr	2878558	2878623	+	66	77
D7795_03075	D7795_v1_chr	2878809	2878922	+	114	104
D7795_03076	D7795_v1_chr	2879015	2880028	-	1014	245
D7795_03077	D7795_v1_chr	2880161	2881576	-	1416	319
D7795_03078	D7795_v1_chr	2881563	2882237	-	675	39
D7795_03079	D7795_v1_chr	2882392	2883369	+	978	106
D7795_03080	D7795_v1_chr	2883384	2883815	+	432	87
D7795_03081	D7795_v1_chr	2883826	2885340	+	1515	334
D7795_03082	D7795_v1_chr	2885290	2885424	-	135	0
D7795_03083	D7795_v1_chr	2885644	2886621	+	978	165
D7795_03084	D7795_v1_chr	2886647	2887915	+	1269	384
D7795_03085	D7795_v1_chr	2887937	2889385	+	1449	177
D7795_03086	D7795_v1_chr	2889400	2890683	+	1284	186
D7795_03087	D7795_v1_chr	2890813	2892213	+	1401	572
D7795_03088	D7795_v1_chr	2892255	2892932	+	678	219
D7795_03089	D7795_v1_chr	2892954	2893403	-	450	304
D7795_03090	D7795_v1_chr	2893503	2893661	-	159	31
D7795_03091	D7795_v1_chr	2893844	2894143	+	300	144
D7795_03092	D7795_v1_chr	2894153	2894680	+	528	234
D7795_03093	D7795_v1_chr	2894759	2894938	+	180	147
D7795_03094	D7795_v1_chr	2895028	2895429	-	402	249
D7795_03095	D7795_v1_chr	2896127	2896576	+	450	60
D7795_03096	D7795_v1_chr	2896611	2896961	-	351	262
D7795_03097	D7795_v1_chr	2897123	2897449	+	327	265
D7795_03098	D7795_v1_chr	2897533	2898867	-	1335	142
D7795_03099	D7795_v1_chr	2898956	2899387	+	432	103
D7795_03100	D7795_v1_chr	2899402	2899560	+	159	58
D7795_03101	D7795_v1_chr	2899486	2899630	-	145	0
D7795_03102	D7795_v1_chr	2899659	2899904	+	246	96
D7795_03103	D7795_v1_chr	2899901	2900311	+	411	131
D7795_03104	D7795_v1_chr	2900311	2902428	+	2118	757
D7795_03105	D7795_v1_chr	2902439	2903398	+	960	613
D7795_03106	D7795_v1_chr	2903753	2904955	+	1203	1995
D7795_03107	D7795_v1_chr	2904948	2906012	+	1065	440
D7795_03108	D7795_v1_chr	2906082	2907077	+	996	318
D7795_03109	D7795_v1_chr	2907242	2908426	+	1185	244
D7795_03110	D7795_v1_chr	2908551	2908832	+	282	0
D7795_03111	D7795_v1_chr	2908923	2909453	+	531	30
D7795_03112	D7795_v1_chr	2909580	2910752	+	1173	443
D7795_03113	D7795_v1_chr	2910769	2912307	+	1539	429
D7795_03114	D7795_v1_chr	2912356	2913726	-	1371	622
D7795_03115	D7795_v1_chr	2914072	2914587	-	516	129
D7795_03116	D7795_v1_chr	2914655	2914728	+	74	4
D7795_03117	D7795_v1_chr	2914737	2916293	-	1557	20
D7795_03118	D7795_v1_chr	2916370	2916795	-	426	75
D7795_03119	D7795_v1_chr	2916792	2917358	-	567	335
D7795_03120	D7795_v1_chr	2917595	2917671	-	77	0
D7795_03121	D7795_v1_chr	2917865	2917941	-	77	77
D7795_03122	D7795_v1_chr	2918004	2918080	-	77	3
D7795_03123	D7795_v1_chr	2918142	2918218	-	77	0
D7795_03124	D7795_v1_chr	2918222	2918314	-	93	0
D7795_03125	D7795_v1_chr	2918618	2918803	-	186	0
D7795_03126	D7795_v1_chr	2919038	2921668	-	2631	0
D7795_03127	D7795_v1_chr	2921904	2922443	-	540	78
D7795_03128	D7795_v1_chr	2922521	2923582	-	1062	25
D7795_03129	D7795_v1_chr	2923667	2924164	-	498	23
D7795_03130	D7795_v1_chr	2924360	2924605	+	246	203
D7795_03131	D7795_v1_chr	2924643	2925722	-	1080	546
D7795_03132	D7795_v1_chr	2925976	2926539	+	564	110
D7795_03133	D7795_v1_chr	2926536	2927507	+	972	395
D7795_03134	D7795_v1_chr	2927519	2927881	+	363	0
D7795_03135	D7795_v1_chr	2927893	2928672	+	780	503
D7795_03136	D7795_v1_chr	2928749	2929108	+	360	14
D7795_03137	D7795_v1_chr	2929223	2929279	+	57	104
D7795_03138	D7795_v1_chr	2929306	2930079	+	774	232
D7795_03139	D7795_v1_chr	2930072	2931037	+	966	99
D7795_03140	D7795_v1_chr	2931034	2932554	-	1521	494
D7795_03141	D7795_v1_chr	2932740	2934179	+	1440	795
D7795_03142	D7795_v1_chr	2934176	2935309	+	1134	387
D7795_03143	D7795_v1_chr	2935307	2935414	+	108	0
D7795_03144	D7795_v1_chr	2935406	2937646	-	2241	722
D7795_03145	D7795_v1_chr	2937792	2938337	-	546	70
D7795_03146	D7795_v1_chr	2938866	2939348	-	483	60
D7795_03147	D7795_v1_chr	2939375	2939845	-	471	160
D7795_03148	D7795_v1_chr	2939838	2940248	-	411	94
D7795_03149	D7795_v1_chr	2940245	2941012	-	768	229
D7795_03150	D7795_v1_chr	2941012	2941554	-	543	230
D7795_03151	D7795_v1_chr	2941564	2943273	-	1710	1057
D7795_03152	D7795_v1_chr	2943291	2944214	-	924	217
D7795_03153	D7795_v1_chr	2944217	2946043	-	1827	555
D7795_03154	D7795_v1_chr	2946043	2946651	-	609	432
D7795_03155	D7795_v1_chr	2946797	2947258	-	462	251
D7795_03156	D7795_v1_chr	2947468	2947824	+	357	81
D7795_03157	D7795_v1_chr	2947893	2948765	+	873	308
D7795_03158	D7795_v1_chr	2948756	2949028	+	273	111
D7795_03159	D7795_v1_chr	2949028	2950149	+	1122	374
D7795_03160	D7795_v1_chr	2950146	2951156	+	1011	158
D7795_03161	D7795_v1_chr	2951375	2951593	+	219	15
D7795_03162	D7795_v1_chr	2951723	2953243	+	1521	861
D7795_03163	D7795_v1_chr	2953230	2953973	+	744	197
D7795_03164	D7795_v1_chr	2954105	2955904	+	1800	270
D7795_03165	D7795_v1_chr	2955966	2956310	-	345	0
D7795_03166	D7795_v1_chr	2956351	2956413	-	63	42
D7795_03167	D7795_v1_chr	2956492	2957409	+	918	83
D7795_03168	D7795_v1_chr	2957406	2958227	+	822	188
D7795_03169	D7795_v1_chr	2958224	2959084	+	861	183
D7795_03170	D7795_v1_chr	2959075	2959923	+	849	711
D7795_03171	D7795_v1_chr	2960022	2960888	-	867	358
D7795_03172	D7795_v1_chr	2961091	2961846	-	756	114
D7795_03173	D7795_v1_chr	2962019	2962099	-	81	0
D7795_03174	D7795_v1_chr	2962231	2963118	-	888	26
D7795_03175	D7795_v1_chr	2963328	2963429	-	102	0
D7795_03176	D7795_v1_chr	2963354	2963473	-	120	22
D7795_03177	D7795_v1_chr	2963463	2963915	-	453	591
D7795_03178	D7795_v1_chr	2963912	2964592	-	681	423
D7795_03179	D7795_v1_chr	2964549	2965127	-	579	110
D7795_03180	D7795_v1_chr	2964649	2964942	+	294	0
D7795_03181	D7795_v1_chr	2965120	2965878	-	759	631
D7795_03182	D7795_v1_chr	2965875	2966180	-	306	536
D7795_03183	D7795_v1_chr	2966199	2966441	-	243	81
D7795_03184	D7795_v1_chr	2966235	2966334	+	100	0
D7795_03185	D7795_v1_chr	2966466	2967701	-	1236	904
D7795_03186	D7795_v1_chr	2967960	2968889	+	930	1210
D7795_03187	D7795_v1_chr	2969000	2969029	+	30	0
D7795_03188	D7795_v1_chr	2969980	2971641	+	1662	847
D7795_03189	D7795_v1_chr	2971659	2972141	+	483	7
D7795_03190	D7795_v1_chr	2972195	2973802	-	1608	765
D7795_03191	D7795_v1_chr	2973813	2974205	-	393	1
D7795_03192	D7795_v1_chr	2974232	2974492	-	261	0
D7795_03193	D7795_v1_chr	2974536	2974784	-	249	124
D7795_03194	D7795_v1_chr	2974803	2976860	-	2058	1109
D7795_03195	D7795_v1_chr	2976378	2976560	+	183	0
D7795_03196	D7795_v1_chr	2976879	2977910	-	1032	523
D7795_03197	D7795_v1_chr	2977981	2979210	-	1230	1245
D7795_03198	D7795_v1_chr	2979238	2981019	-	1782	714
D7795_03199	D7795_v1_chr	2981022	2981519	-	498	342
D7795_03200	D7795_v1_chr	2981657	2982727	-	1071	156
D7795_03201	D7795_v1_chr	2982714	2983505	-	792	464
D7795_03202	D7795_v1_chr	2983509	2983769	-	261	54
D7795_03203	D7795_v1_chr	2983795	2984469	-	675	367
D7795_03204	D7795_v1_chr	2984459	2985370	-	912	240
D7795_03205	D7795_v1_chr	2985370	2986380	-	1011	246
D7795_03206	D7795_v1_chr	2986380	2986823	-	444	136
D7795_03207	D7795_v1_chr	2986801	2988096	-	1296	722
D7795_03208	D7795_v1_chr	2988093	2988500	-	408	454
D7795_03209	D7795_v1_chr	2988524	2990581	-	2058	954
D7795_03210	D7795_v1_chr	2990606	2991724	-	1119	786
D7795_03211	D7795_v1_chr	2991721	2993409	-	1689	1381
D7795_03212	D7795_v1_chr	2993406	2994155	-	750	798
D7795_03213	D7795_v1_chr	2994512	2994955	+	444	103
D7795_03214	D7795_v1_chr	2995047	2995126	+	80	32
D7795_03215	D7795_v1_chr	2995411	2995557	+	147	48
D7795_03216	D7795_v1_chr	2995827	2996108	+	282	0
D7795_03217	D7795_v1_chr	2996105	2996632	+	528	347
D7795_03218	D7795_v1_chr	2996705	2996881	-	177	75
D7795_03219	D7795_v1_chr	2997269	2997925	+	657	91
D7795_03220	D7795_v1_chr	2998170	2998664	-	495	385
D7795_03221	D7795_v1_chr	2998691	2999359	-	669	87
D7795_03222	D7795_v1_chr	2999567	2999683	-	117	19
D7795_03223	D7795_v1_chr	2999933	3000343	-	411	99
D7795_03224	D7795_v1_chr	3000209	3000304	+	96	0
D7795_03225	D7795_v1_chr	3000294	3000362	+	69	0
D7795_03226	D7795_v1_chr	3000502	3003069	+	2568	397
D7795_03227	D7795_v1_chr	3003125	3003505	-	381	77
D7795_03228	D7795_v1_chr	3003502	3004710	-	1209	150
D7795_03229	D7795_v1_chr	3004819	3005730	+	912	23
D7795_03230	D7795_v1_chr	3005772	3007268	-	1497	495
D7795_03231	D7795_v1_chr	3007265	3008215	-	951	330
D7795_03232	D7795_v1_chr	3008255	3009031	-	777	59
D7795_03233	D7795_v1_chr	3009036	3009674	-	639	244
D7795_03234	D7795_v1_chr	3009671	3010933	-	1263	374
D7795_03235	D7795_v1_chr	3010927	3011850	-	924	193
D7795_03236	D7795_v1_chr	3012047	3012811	+	765	50
D7795_03237	D7795_v1_chr	3012830	3013234	-	405	167
D7795_03238	D7795_v1_chr	3013405	3013998	+	594	84
D7795_03239	D7795_v1_chr	3013998	3015425	+	1428	513
D7795_03240	D7795_v1_chr	3015436	3015672	+	237	111
D7795_03241	D7795_v1_chr	3015717	3016709	-	993	896
D7795_03242	D7795_v1_chr	3016772	3017905	-	1134	597
D7795_03243	D7795_v1_chr	3018081	3018707	-	627	54
D7795_03244	D7795_v1_chr	3018701	3019462	-	762	250
D7795_03245	D7795_v1_chr	3019443	3020492	-	1050	63
D7795_03246	D7795_v1_chr	3020489	3020968	-	480	0
D7795_03247	D7795_v1_chr	3020968	3021678	-	711	0
D7795_03248	D7795_v1_chr	3021697	3022008	-	312	0
D7795_03249	D7795_v1_chr	3022199	3022522	-	324	94
D7795_03250	D7795_v1_chr	3022573	3023178	-	606	36
D7795_03251	D7795_v1_chr	3023165	3024604	-	1440	353
D7795_03252	D7795_v1_chr	3024614	3025522	-	909	447
D7795_03253	D7795_v1_chr	3025773	3026819	+	1047	212
D7795_03254	D7795_v1_chr	3026834	3027350	.	517	105
D7795_03255	D7795_v1_chr	3027447	3027740	-	294	37
D7795_03256	D7795_v1_chr	3027740	3028660	-	921	124
D7795_03257	D7795_v1_chr	3028657	3029307	-	651	79
D7795_03258	D7795_v1_chr	3029289	3030035	-	747	237
D7795_03259	D7795_v1_chr	3030046	3031104	-	1059	237
D7795_03260	D7795_v1_chr	3031118	3031672	-	555	10
D7795_03261	D7795_v1_chr	3031669	3033225	-	1557	435
D7795_03262	D7795_v1_chr	3033237	3035900	-	2664	985
D7795_03263	D7795_v1_chr	3036345	3037298	+	954	104
D7795_03264	D7795_v1_chr	3037070	3037166	-	97	0
D7795_03265	D7795_v1_chr	3037386	3038120	-	735	145
D7795_03266	D7795_v1_chr	3038222	3039934	-	1713	388
D7795_03267	D7795_v1_chr	3039934	3041733	-	1800	263
D7795_03268	D7795_v1_chr	3042157	3042519	+	363	119
D7795_03269	D7795_v1_chr	3042607	3043404	-	798	162
D7795_03270	D7795_v1_chr	3043503	3044019	.	517	7
D7795_03271	D7795_v1_chr	3044316	3044987	-	672	104
D7795_03272	D7795_v1_chr	3045123	3046421	-	1299	3
D7795_03273	D7795_v1_chr	3046504	3048141	-	1638	0
D7795_03274	D7795_v1_chr	3048138	3048233	-	96	0
D7795_03275	D7795_v1_chr	3048369	3049169	-	801	265
D7795_03276	D7795_v1_chr	3049777	3050364	+	588	1027
D7795_03277	D7795_v1_chr	3050498	3053143	+	2646	1435
D7795_03278	D7795_v1_chr	3053156	3053929	+	774	98
D7795_03279	D7795_v1_chr	3053955	3054455	+	501	126
D7795_03280	D7795_v1_chr	3054455	3054940	+	486	144
D7795_03281	D7795_v1_chr	3054982	3055473	+	492	164
D7795_03282	D7795_v1_chr	3055528	3056559	+	1032	10
D7795_03283	D7795_v1_chr	3056909	3059143	-	2235	567
D7795_03284	D7795_v1_chr	3059195	3060490	-	1296	266
D7795_03285	D7795_v1_chr	3060548	3063304	+	2757	1118
D7795_03286	D7795_v1_chr	3063348	3064490	-	1143	255
D7795_03287	D7795_v1_chr	3064568	3065908	-	1341	645
D7795_03288	D7795_v1_chr	3065929	3067269	-	1341	190
D7795_03289	D7795_v1_chr	3067266	3068624	-	1359	389
