# Program:featureCounts v1.6.4; Command:"featureCounts" "-M" "--fraction" "-t" "gene" "-g" "ID" "-s" "0" "-a" "/pub37/alexp/data/TRADIS/v2_WY_macro/P125109_v3_2018.tradis.gff" "-o" "P125109_output_MAC_1.deseq.fc.tsv" "P125109_output_MAC_1.deseq.bam" 
Geneid	Chr	Start	End	Strand	Length	P125109_output_MAC_1.deseq.bam
P125109_02449	P125109_v1_chr	2260131	2260862	+	732	103
P125109_02450	P125109_v1_chr	2260922	2261029	+	108	46
P125109_02451	P125109_v1_chr	2261010	2261741	-	732	1141
P125109_02452	P125109_v1_chr	2261725	2262672	-	948	568
P125109_02453	P125109_v1_chr	2262665	2263834	-	1170	809
P125109_02454	P125109_v1_chr	2263838	2264755	-	918	533
P125109_02455	P125109_v1_chr	2264936	2267233	-	2298	1767
P125109_02456	P125109_v1_chr	2267500	2269230	+	1731	1236
P125109_02457	P125109_v1_chr	2269289	2270197	-	909	1001
P125109_02458	P125109_v1_chr	2270307	2270376	+	70	0
P125109_02459	P125109_v1_chr	2270402	2270989	-	588	614
P125109_02460	P125109_v1_chr	2271148	2271717	+	570	395
P125109_02461	P125109_v1_chr	2271766	2272527	-	762	335
P125109_02462	P125109_v1_chr	2272593	2274029	-	1437	945
P125109_02463	P125109_v1_chr	2274220	2274417	+	198	38
P125109_02464	P125109_v1_chr	2274322	2274462	+	141	152
P125109_02465	P125109_v1_chr	2274488	2275426	-	939	881
P125109_02466	P125109_v1_chr	2275535	2276728	-	1194	773
P125109_02467	P125109_v1_chr	2276743	2277387	-	645	200
P125109_02468	P125109_v1_chr	2277396	2278097	-	702	237
P125109_02469	P125109_v1_chr	2278113	2279150	-	1038	399
P125109_02470	P125109_v1_chr	2279162	2280520	-	1359	418
P125109_02471	P125109_v1_chr	2280646	2281554	+	909	647
P125109_02472	P125109_v1_chr	2281686	2282084	+	399	528
P125109_02473	P125109_v1_chr	2282081	2282776	+	696	829
P125109_02474	P125109_v1_chr	2282930	2283814	+	885	496
P125109_02475	P125109_v1_chr	2283991	2284710	+	720	630
P125109_02476	P125109_v1_chr	2284713	2284952	+	240	276
P125109_02477	P125109_v1_chr	2285157	2286398	+	1242	1144
P125109_02478	P125109_v1_chr	2286392	2287627	+	1236	713
P125109_02479	P125109_v1_chr	2287702	2288712	-	1011	869
P125109_02480	P125109_v1_chr	2288728	2290248	-	1521	1422
P125109_02481	P125109_v1_chr	2290382	2291380	-	999	716
P125109_02482	P125109_v1_chr	2291879	2292901	-	1023	389
P125109_02483	P125109_v1_chr	2293051	2294211	-	1161	726
P125109_02484	P125109_v1_chr	2294208	2294876	-	669	9
P125109_02485	P125109_v1_chr	2295206	2296063	+	858	255
P125109_02486	P125109_v1_chr	2296052	2296441	-	390	63
P125109_02487	P125109_v1_chr	2296446	2297813	-	1368	2201
P125109_02488	P125109_v1_chr	2298030	2298917	+	888	102
P125109_02489	P125109_v1_chr	2298950	2300272	+	1323	1394
P125109_02490	P125109_v1_chr	2300316	2302307	-	1992	498
P125109_02491	P125109_v1_chr	2302653	2304122	-	1470	806
P125109_02492	P125109_v1_chr	2304312	2305175	-	864	484
P125109_02493	P125109_v1_chr	2305296	2306345	+	1050	391
P125109_02494	P125109_v1_chr	2306424	2307281	+	858	324
P125109_02495	P125109_v1_chr	2307346	2309034	-	1689	988
P125109_02496	P125109_v1_chr	2309051	2309989	-	939	112
P125109_02497	P125109_v1_chr	2309989	2311119	-	1131	75
P125109_02498	P125109_v1_chr	2311187	2311294	-	108	0
P125109_02499	P125109_v1_chr	2311488	2312669	+	1182	654
P125109_02500	P125109_v1_chr	2312733	2313398	-	666	118
P125109_02501	P125109_v1_chr	2313400	2313522	-	123	0
P125109_02502	P125109_v1_chr	2313910	2314164	-	255	21
P125109_02503	P125109_v1_chr	2313950	2314354	+	405	244
P125109_02504	P125109_v1_chr	2314489	2315061	+	573	300
P125109_02505	P125109_v1_chr	2315274	2316260	+	987	316
P125109_02506	P125109_v1_chr	2316290	2317009	+	720	333
P125109_02507	P125109_v1_chr	2317008	2317173	-	166	0
P125109_02508	P125109_v1_chr	2317423	2317995	+	573	591
P125109_02509	P125109_v1_chr	2318321	2319877	+	1557	669
P125109_02510	P125109_v1_chr	2319984	2321789	+	1806	427
P125109_02511	P125109_v1_chr	2321799	2322893	+	1095	324
P125109_02512	P125109_v1_chr	2322893	2323918	+	1026	378
P125109_02513	P125109_v1_chr	2323920	2325509	+	1590	289
P125109_02514	P125109_v1_chr	2325513	2325857	-	345	202
P125109_02515	P125109_v1_chr	2326006	2326086	-	81	92
P125109_02516	P125109_v1_chr	2326248	2327438	-	1191	562
P125109_02517	P125109_v1_chr	2327091	2327186	-	96	0
P125109_02518	P125109_v1_chr	2327466	2328161	-	696	695
P125109_02519	P125109_v1_chr	2328313	2330073	+	1761	325
P125109_02520	P125109_v1_chr	2330198	2330482	+	285	0
P125109_02521	P125109_v1_chr	2330590	2331210	-	621	364
P125109_02522	P125109_v1_chr	2331238	2332245	-	1008	626
P125109_02523	P125109_v1_chr	2332425	2332652	+	228	1
P125109_02524	P125109_v1_chr	2332684	2334444	+	1761	4
P125109_02525	P125109_v1_chr	2334518	2334594	+	77	2
P125109_02526	P125109_v1_chr	2334905	2335054	-	150	10
P125109_02527	P125109_v1_chr	2335215	2337581	-	2367	1629
P125109_02528	P125109_v1_chr	2337918	2338196	-	279	253
P125109_02529	P125109_v1_chr	2338250	2338534	-	285	383
P125109_02530	P125109_v1_chr	2338577	2339041	-	465	42
P125109_02531	P125109_v1_chr	2339062	2339343	+	282	35
P125109_02532	P125109_v1_chr	2339170	2339358	+	189	0
P125109_02533	P125109_v1_chr	2339387	2339548	+	162	137
P125109_02534	P125109_v1_chr	2339740	2340297	-	558	36
P125109_02535	P125109_v1_chr	2341033	2341680	+	648	361
P125109_02536	P125109_v1_chr	2341724	2342767	-	1044	1250
P125109_02537	P125109_v1_chr	2342764	2343321	-	558	690
P125109_02538	P125109_v1_chr	2343318	2345249	-	1932	3130
P125109_02539	P125109_v1_chr	2345246	2345725	-	480	709
P125109_02540	P125109_v1_chr	2345722	2345895	-	174	155
P125109_02541	P125109_v1_chr	2345931	2346677	-	747	965
P125109_02542	P125109_v1_chr	2346720	2347376	-	657	973
P125109_02543	P125109_v1_chr	2347376	2347993	-	618	691
P125109_02544	P125109_v1_chr	2348014	2348616	-	603	290
P125109_02545	P125109_v1_chr	2348626	2349075	-	450	345
P125109_02546	P125109_v1_chr	2349191	2350060	-	870	675
P125109_02547	P125109_v1_chr	2350047	2350742	-	696	121
P125109_02548	P125109_v1_chr	2350749	2353235	-	2487	1161
P125109_02549	P125109_v1_chr	2353232	2353495	-	264	276
P125109_02550	P125109_v1_chr	2353485	2353976	-	492	1060
P125109_02551	P125109_v1_chr	2354088	2354219	+	132	191
P125109_02552	P125109_v1_chr	2354378	2354884	+	507	473
P125109_02553	P125109_v1_chr	2355067	2356710	-	1644	791
P125109_02554	P125109_v1_chr	2356784	2357434	-	651	827
P125109_02555	P125109_v1_chr	2357437	2358495	-	1059	601
P125109_02556	P125109_v1_chr	2358579	2359631	-	1053	303
P125109_02557	P125109_v1_chr	2359746	2360882	-	1137	2945
P125109_02558	P125109_v1_chr	2361216	2361307	+	92	80
P125109_02559	P125109_v1_chr	2361609	2364278	+	2670	4689
P125109_02560	P125109_v1_chr	2364295	2364945	+	651	169
P125109_02561	P125109_v1_chr	2365048	2367894	-	2847	3311
P125109_02562	P125109_v1_chr	2368012	2370648	-	2637	40
P125109_02563	P125109_v1_chr	2371058	2372260	-	1203	2509
P125109_02564	P125109_v1_chr	2372275	2373600	-	1326	423
P125109_02565	P125109_v1_chr	2373650	2374534	+	885	914
P125109_02566	P125109_v1_chr	2374617	2375345	+	729	97
P125109_02567	P125109_v1_chr	2375701	2377986	+	2286	3
P125109_02568	P125109_v1_chr	2378099	2379229	+	1131	12
P125109_02569	P125109_v1_chr	2379229	2379483	+	255	347
P125109_02570	P125109_v1_chr	2379485	2380702	-	1218	952
P125109_02571	P125109_v1_chr	2380837	2381715	+	879	119
P125109_02572	P125109_v1_chr	2381831	2382901	-	1071	1172
P125109_02573	P125109_v1_chr	2382906	2384264	-	1359	2137
P125109_02574	P125109_v1_chr	2384537	2386165	+	1629	1120
P125109_02575	P125109_v1_chr	2386155	2387414	+	1260	729
P125109_02576	P125109_v1_chr	2387411	2388601	+	1191	590
P125109_02577	P125109_v1_chr	2388604	2389054	-	451	193
P125109_02578	P125109_v1_chr	2389027	2390049	+	1023	62
P125109_02579	P125109_v1_chr	2390136	2390312	-	177	333
P125109_02580	P125109_v1_chr	2390318	2391121	-	804	345
P125109_02581	P125109_v1_chr	2391147	2391632	-	486	314
P125109_02582	P125109_v1_chr	2391645	2392436	-	792	480
P125109_02583	P125109_v1_chr	2392492	2393697	-	1206	1143
P125109_02584	P125109_v1_chr	2393711	2394493	-	783	727
P125109_02585	P125109_v1_chr	2394743	2395939	-	1197	902
P125109_02586	P125109_v1_chr	2396054	2396620	-	567	124
P125109_02587	P125109_v1_chr	2396875	2397300	+	426	1122
P125109_02588	P125109_v1_chr	2397345	2397950	-	606	1922
P125109_02589	P125109_v1_chr	2398249	2399388	+	1140	2474
P125109_02590	P125109_v1_chr	2399391	2400374	+	984	971
P125109_02591	P125109_v1_chr	2400371	2402353	+	1983	2084
P125109_02592	P125109_v1_chr	2402350	2403249	+	900	964
P125109_02593	P125109_v1_chr	2403246	2404892	+	1647	1768
P125109_02594	P125109_v1_chr	2404889	2405224	+	336	265
P125109_02595	P125109_v1_chr	2405224	2405601	+	378	134
P125109_02596	P125109_v1_chr	2405596	2405853	-	258	301
P125109_02597	P125109_v1_chr	2405951	2407318	-	1368	855
P125109_02598	P125109_v1_chr	2407315	2408277	-	963	388
P125109_02599	P125109_v1_chr	2408277	2409134	-	858	793
P125109_02600	P125109_v1_chr	2409149	2409907	-	759	546
P125109_02601	P125109_v1_chr	2409904	2411574	-	1671	633
P125109_02602	P125109_v1_chr	2411660	2412955	-	1296	1326
P125109_02603	P125109_v1_chr	2413056	2413361	-	306	1
P125109_02604	P125109_v1_chr	2413416	2413877	-	462	431
P125109_02605	P125109_v1_chr	2413938	2414855	+	918	364
P125109_02606	P125109_v1_chr	2414921	2415922	+	1002	648
P125109_02607	P125109_v1_chr	2415963	2417753	-	1791	2163
P125109_02608	P125109_v1_chr	2418642	2420099	-	1458	321
P125109_02609	P125109_v1_chr	2420106	2421635	-	1530	222
P125109_02610	P125109_v1_chr	2421949	2423790	-	1842	236
P125109_02611	P125109_v1_chr	2423787	2424089	-	303	9
P125109_02612	P125109_v1_chr	2424086	2424640	-	555	171
P125109_02613	P125109_v1_chr	2424651	2425193	-	543	113
P125109_02614	P125109_v1_chr	2425208	2426185	-	978	121
P125109_02615	P125109_v1_chr	2426182	2428908	-	2727	468
P125109_02616	P125109_v1_chr	2428939	2430276	-	1338	166
P125109_02617	P125109_v1_chr	2430273	2430773	-	501	39
P125109_02618	P125109_v1_chr	2430776	2432578	-	1803	272
P125109_02619	P125109_v1_chr	2432665	2433327	-	663	97
P125109_02620	P125109_v1_chr	2433343	2433786	-	444	83
P125109_02621	P125109_v1_chr	2434181	2434333	-	153	83
P125109_02622	P125109_v1_chr	2434237	2434378	+	142	0
P125109_02623	P125109_v1_chr	2434413	2435351	-	939	460
P125109_02624	P125109_v1_chr	2436283	2437497	+	1215	1580
P125109_02625	P125109_v1_chr	2437591	2438190	+	600	390
P125109_02626	P125109_v1_chr	2438296	2440122	-	1827	630
P125109_02627	P125109_v1_chr	2440199	2440858	-	660	793
P125109_02628	P125109_v1_chr	2440869	2441363	-	495	679
P125109_02629	P125109_v1_chr	2441446	2441901	-	456	322
P125109_02630	P125109_v1_chr	2442241	2443443	+	1203	112
P125109_02631	P125109_v1_chr	2443520	2445664	+	2145	60
P125109_02632	P125109_v1_chr	2445661	2445769	+	109	0
P125109_02633	P125109_v1_chr	2445673	2445867	-	195	0
P125109_02634	P125109_v1_chr	2445882	2447402	+	1521	685
P125109_02635	P125109_v1_chr	2447451	2448404	-	954	228
P125109_02636	P125109_v1_chr	2448397	2449227	-	831	430
P125109_02637	P125109_v1_chr	2449224	2450615	-	1392	552
P125109_02638	P125109_v1_chr	2450636	2450908	-	273	231
P125109_02639	P125109_v1_chr	2450989	2451432	-	444	1182
P125109_02640	P125109_v1_chr	2451685	2452704	+	1020	287
P125109_02641	P125109_v1_chr	2452710	2453264	-	555	598
P125109_02642	P125109_v1_chr	2453321	2453872	-	552	344
P125109_02643	P125109_v1_chr	2453928	2454572	-	645	371
P125109_02644	P125109_v1_chr	2454715	2455362	+	648	324
P125109_02645	P125109_v1_chr	2455488	2456381	+	894	336
P125109_02646	P125109_v1_chr	2456354	2456432	+	79	235
P125109_02647	P125109_v1_chr	2456433	2457206	-	774	514
P125109_02648	P125109_v1_chr	2457220	2457927	-	708	1089
P125109_02649	P125109_v1_chr	2457924	2458610	-	687	321
P125109_02650	P125109_v1_chr	2458793	2459575	-	783	391
P125109_02651	P125109_v1_chr	2459813	2460595	-	783	490
P125109_02652	P125109_v1_chr	2460884	2461453	-	570	2
P125109_02653	P125109_v1_chr	2461480	2462886	-	1407	1013
P125109_02654	P125109_v1_chr	2462950	2464053	-	1104	3032
P125109_02655	P125109_v1_chr	2464055	2465476	-	1422	3942
P125109_02656	P125109_v1_chr	2465567	2466964	-	1398	2175
P125109_02657	P125109_v1_chr	2467175	2468602	+	1428	955
P125109_02658	P125109_v1_chr	2468638	2470155	-	1518	53
P125109_02659	P125109_v1_chr	2470193	2470681	-	489	31
P125109_02660	P125109_v1_chr	2470992	2471666	-	675	110
P125109_02661	P125109_v1_chr	2471656	2472924	-	1269	195
P125109_02662	P125109_v1_chr	2472992	2473906	-	915	47
P125109_02663	P125109_v1_chr	2474056	2474715	-	660	502
P125109_02664	P125109_v1_chr	2474764	2475576	-	813	60
P125109_02665	P125109_v1_chr	2475576	2476589	-	1014	303
P125109_02666	P125109_v1_chr	2476657	2477793	-	1137	553
P125109_02667	P125109_v1_chr	2477897	2478898	+	1002	774
P125109_02668	P125109_v1_chr	2478895	2480070	-	1176	943
P125109_02669	P125109_v1_chr	2480250	2480624	-	375	809
P125109_02670	P125109_v1_chr	2480797	2481045	+	249	196
P125109_02671	P125109_v1_chr	2481214	2481582	+	369	1358
P125109_02672	P125109_v1_chr	2481582	2482100	+	519	1785
P125109_02673	P125109_v1_chr	2482167	2482823	-	657	251
P125109_02674	P125109_v1_chr	2482921	2484135	-	1215	22
P125109_02675	P125109_v1_chr	2484295	2486295	+	2001	525
P125109_02676	P125109_v1_chr	2486347	2486622	-	276	191
P125109_02677	P125109_v1_chr	2486655	2487203	-	549	341
P125109_02678	P125109_v1_chr	2487203	2488012	-	810	462
P125109_02679	P125109_v1_chr	2488012	2488836	-	825	807
P125109_02680	P125109_v1_chr	2488840	2489925	-	1086	77
P125109_02681	P125109_v1_chr	2489961	2490893	-	933	582
P125109_02682	P125109_v1_chr	2491059	2491610	+	552	376
P125109_02683	P125109_v1_chr	2491710	2492195	-	486	20
P125109_02684	P125109_v1_chr	2492404	2494551	-	2148	1378
P125109_02685	P125109_v1_chr	2494551	2495861	-	1311	632
P125109_02686	P125109_v1_chr	2496039	2496323	-	285	201
P125109_02687	P125109_v1_chr	2496694	2498001	+	1308	1147
P125109_02688	P125109_v1_chr	2498062	2498817	-	756	305
P125109_02689	P125109_v1_chr	2499106	2500047	+	942	1059
P125109_02690	P125109_v1_chr	2500123	2500197	+	75	2
P125109_02691	P125109_v1_chr	2500324	2500563	-	240	47
P125109_02692	P125109_v1_chr	2501368	2501679	+	312	814
P125109_02693	P125109_v1_chr	2501648	2501902	+	255	47
P125109_02694	P125109_v1_chr	2501920	2503842	+	1923	17
P125109_02695	P125109_v1_chr	2503959	2504459	-	501	692
P125109_02696	P125109_v1_chr	2504994	2505209	-	216	190
P125109_02697	P125109_v1_chr	2505299	2505376	-	78	67
P125109_02698	P125109_v1_chr	2505344	2506282	-	939	1262
P125109_02699	P125109_v1_chr	2506322	2506417	+	96	0
P125109_02700	P125109_v1_chr	2506550	2507800	-	1251	608
P125109_02701	P125109_v1_chr	2507787	2509793	-	2007	1554
P125109_02702	P125109_v1_chr	2509790	2511064	-	1275	754
P125109_02703	P125109_v1_chr	2511027	2511287	-	261	0
P125109_02704	P125109_v1_chr	2511419	2512810	+	1392	3443
P125109_02705	P125109_v1_chr	2513085	2513327	-	243	594
P125109_02706	P125109_v1_chr	2513488	2513601	-	114	10
P125109_02707	P125109_v1_chr	2513849	2514769	+	921	670
P125109_02708	P125109_v1_chr	2514896	2515294	-	399	35
P125109_02709	P125109_v1_chr	2515172	2515243	+	72	0
P125109_02710	P125109_v1_chr	2515293	2516531	-	1239	815
P125109_02711	P125109_v1_chr	2516875	2517021	-	147	0
P125109_02712	P125109_v1_chr	2517082	2517207	+	126	81
P125109_02713	P125109_v1_chr	2517254	2518219	-	966	950
P125109_02714	P125109_v1_chr	2518423	2519658	+	1236	624
P125109_02715	P125109_v1_chr	2519678	2521330	-	1653	583
P125109_02716	P125109_v1_chr	2521510	2522508	+	999	75
P125109_02717	P125109_v1_chr	2522622	2522948	+	327	176
P125109_02718	P125109_v1_chr	2523009	2524250	-	1242	1116
P125109_02719	P125109_v1_chr	2524593	2525795	+	1203	396
P125109_02720	P125109_v1_chr	2525848	2528037	-	2190	2191
P125109_02721	P125109_v1_chr	2528228	2528303	-	76	171
P125109_02722	P125109_v1_chr	2528346	2528421	-	76	19
P125109_02723	P125109_v1_chr	2528643	2529005	+	363	498
P125109_02724	P125109_v1_chr	2529028	2529399	+	372	240
P125109_02725	P125109_v1_chr	2529453	2530868	-	1416	2
P125109_02726	P125109_v1_chr	2531127	2531202	+	76	0
P125109_02727	P125109_v1_chr	2531248	2531323	+	76	0
P125109_02728	P125109_v1_chr	2531365	2531440	+	76	0
P125109_02729	P125109_v1_chr	2531445	2531520	+	76	129
P125109_02730	P125109_v1_chr	2531684	2532568	-	885	729
P125109_02731	P125109_v1_chr	2532620	2532778	-	159	2
P125109_02732	P125109_v1_chr	2532837	2534093	-	1257	1235
P125109_02733	P125109_v1_chr	2534148	2534981	-	834	702
P125109_02734	P125109_v1_chr	2535237	2535998	+	762	1736
P125109_02735	P125109_v1_chr	2536060	2536986	-	927	408
P125109_02736	P125109_v1_chr	2537076	2538074	+	999	761
P125109_02737	P125109_v1_chr	2538071	2538289	-	219	8
P125109_02738	P125109_v1_chr	2538291	2540306	-	2016	0
P125109_02739	P125109_v1_chr	2540378	2541364	-	987	0
P125109_02740	P125109_v1_chr	2541596	2542357	+	762	917
P125109_02741	P125109_v1_chr	2542521	2543492	+	972	911
P125109_02742	P125109_v1_chr	2543876	2544133	+	258	4
P125109_02743	P125109_v1_chr	2544182	2545909	+	1728	16
P125109_02744	P125109_v1_chr	2545950	2546459	+	510	8
P125109_02745	P125109_v1_chr	2546623	2546862	-	240	212
P125109_02746	P125109_v1_chr	2546859	2547725	-	867	504
P125109_02747	P125109_v1_chr	2547808	2549100	+	1293	436
P125109_02748	P125109_v1_chr	2549115	2549834	+	720	478
P125109_02749	P125109_v1_chr	2549911	2550276	+	366	263
P125109_02750	P125109_v1_chr	2550376	2550984	-	609	751
P125109_02751	P125109_v1_chr	2551236	2552147	-	912	238
P125109_02752	P125109_v1_chr	2552215	2553312	-	1098	679
P125109_02753	P125109_v1_chr	2553302	2554177	-	876	385
P125109_02754	P125109_v1_chr	2554177	2555010	-	834	531
P125109_02755	P125109_v1_chr	2555010	2556026	-	1017	180
P125109_02756	P125109_v1_chr	2556184	2556975	-	792	198
P125109_02757	P125109_v1_chr	2557213	2558112	-	900	258
P125109_02758	P125109_v1_chr	2558207	2558782	-	576	129
P125109_02759	P125109_v1_chr	2558844	2559293	-	450	38
P125109_02760	P125109_v1_chr	2559280	2559705	-	426	226
P125109_02761	P125109_v1_chr	2559918	2560787	+	870	394
P125109_02762	P125109_v1_chr	2560790	2561689	+	900	518
P125109_02763	P125109_v1_chr	2561710	2562039	+	330	889
P125109_02764	P125109_v1_chr	2562488	2563456	-	969	560
P125109_02765	P125109_v1_chr	2563588	2564082	-	495	150
P125109_02766	P125109_v1_chr	2564095	2564754	-	660	503
P125109_02767	P125109_v1_chr	2564764	2565660	-	897	393
P125109_02768	P125109_v1_chr	2565679	2567040	-	1362	1058
P125109_02769	P125109_v1_chr	2567052	2568455	-	1404	636
P125109_02770	P125109_v1_chr	2568452	2569678	-	1227	423
P125109_02771	P125109_v1_chr	2569798	2570985	-	1188	708
P125109_02772	P125109_v1_chr	2570975	2571814	-	840	648
P125109_02773	P125109_v1_chr	2571825	2573228	-	1404	604
P125109_02774	P125109_v1_chr	2573240	2573527	-	288	151
P125109_02775	P125109_v1_chr	2573640	2573930	-	291	164
P125109_02776	P125109_v1_chr	2573971	2574987	-	1017	560
P125109_02777	P125109_v1_chr	2574984	2575787	-	804	286
P125109_02778	P125109_v1_chr	2575784	2576473	-	690	178
P125109_02779	P125109_v1_chr	2576451	2576930	-	480	582
P125109_02780	P125109_v1_chr	2576943	2577278	-	336	709
P125109_02781	P125109_v1_chr	2577695	2579974	-	2280	1246
P125109_02782	P125109_v1_chr	2580246	2581196	+	951	141
P125109_02783	P125109_v1_chr	2581216	2583216	+	2001	1307
P125109_02784	P125109_v1_chr	2583279	2583509	-	231	308
P125109_02785	P125109_v1_chr	2583637	2584680	-	1044	457
P125109_02786	P125109_v1_chr	2584805	2585380	-	576	801
P125109_02787	P125109_v1_chr	2585584	2586882	+	1299	2390
P125109_02788	P125109_v1_chr	2587331	2589292	-	1962	946
P125109_02789	P125109_v1_chr	2589478	2591178	+	1701	1064
P125109_02790	P125109_v1_chr	2591363	2594476	+	3114	1767
P125109_02791	P125109_v1_chr	2594578	2594637	-	60	38
P125109_02792	P125109_v1_chr	2595050	2595406	+	357	971
P125109_02793	P125109_v1_chr	2595410	2596537	+	1128	78
P125109_02794	P125109_v1_chr	2596565	2596765	+	201	3
P125109_02795	P125109_v1_chr	2596792	2598810	-	2019	866
P125109_02796	P125109_v1_chr	2598826	2599689	-	864	637
P125109_02797	P125109_v1_chr	2599820	2600533	-	714	15
P125109_02798	P125109_v1_chr	2600708	2601742	-	1035	893
P125109_02799	P125109_v1_chr	2601759	2602637	-	879	1
P125109_02800	P125109_v1_chr	2602783	2603355	+	573	777
P125109_02801	P125109_v1_chr	2603355	2603825	+	471	148
P125109_02802	P125109_v1_chr	2603872	2605011	-	1140	324
P125109_02803	P125109_v1_chr	2605017	2606285	-	1269	528
P125109_02804	P125109_v1_chr	2606353	2607534	-	1182	830
P125109_02805	P125109_v1_chr	2607816	2608883	-	1068	36
P125109_02806	P125109_v1_chr	2609091	2610554	+	1464	400
P125109_02807	P125109_v1_chr	2610594	2610953	+	360	228
P125109_02808	P125109_v1_chr	2610980	2611705	-	726	57
P125109_02809	P125109_v1_chr	2611776	2613065	-	1290	232
P125109_02810	P125109_v1_chr	2613153	2613779	-	627	163
P125109_02811	P125109_v1_chr	2614192	2615229	+	1038	13
P125109_02812	P125109_v1_chr	2615229	2615867	+	639	174
P125109_02813	P125109_v1_chr	2616056	2618122	+	2067	2678
P125109_02814	P125109_v1_chr	2618127	2619668	+	1542	1323
P125109_02815	P125109_v1_chr	2619704	2621917	-	2214	3441
P125109_02816	P125109_v1_chr	2622014	2622151	-	138	9
P125109_02817	P125109_v1_chr	2622222	2622461	-	240	214
P125109_02818	P125109_v1_chr	2622330	2622521	+	192	39
P125109_02819	P125109_v1_chr	2622606	2622707	+	102	73
P125109_02820	P125109_v1_chr	2622673	2622906	-	234	270
P125109_02821	P125109_v1_chr	2623230	2623544	+	315	455
P125109_02822	P125109_v1_chr	2623564	2623851	-	288	96
P125109_02823	P125109_v1_chr	2624074	2625651	-	1578	8
P125109_02824	P125109_v1_chr	2625721	2627187	-	1467	16
P125109_02825	P125109_v1_chr	2627348	2628697	+	1350	1037
P125109_02826	P125109_v1_chr	2628859	2634957	-	6099	3881
P125109_02827	P125109_v1_chr	2635618	2637588	-	1971	2106
P125109_02828	P125109_v1_chr	2637691	2642925	-	5235	3523
P125109_02829	P125109_v1_chr	2643091	2648670	-	5580	4649
P125109_02830	P125109_v1_chr	2648808	2649767	-	960	795
P125109_02831	P125109_v1_chr	2649825	2651705	-	1881	977
P125109_02832	P125109_v1_chr	2652215	2652436	-	222	188
P125109_02833	P125109_v1_chr	2652525	2653997	-	1473	1
P125109_02834	P125109_v1_chr	2654116	2655294	-	1179	7
P125109_02835	P125109_v1_chr	2655305	2655925	-	621	121
P125109_02836	P125109_v1_chr	2655939	2657213	-	1275	51
P125109_02837	P125109_v1_chr	2657324	2658442	-	1119	4
P125109_02838	P125109_v1_chr	2658469	2659473	-	1005	98
P125109_02839	P125109_v1_chr	2659765	2660931	-	1167	1521
P125109_02840	P125109_v1_chr	2661138	2661569	-	432	265
P125109_02841	P125109_v1_chr	2661690	2662553	-	864	828
P125109_02842	P125109_v1_chr	2662553	2663362	-	810	614
P125109_02843	P125109_v1_chr	2663355	2663984	-	630	705
P125109_02844	P125109_v1_chr	2663981	2666359	-	2379	2365
P125109_02845	P125109_v1_chr	2666515	2668830	-	2316	839
P125109_02846	P125109_v1_chr	2668831	2673765	-	4935	2642
P125109_02847	P125109_v1_chr	2673974	2674816	+	843	1339
P125109_02848	P125109_v1_chr	2674796	2675020	-	225	371
P125109_02849	P125109_v1_chr	2675062	2675730	+	669	499
P125109_02850	P125109_v1_chr	2675821	2675918	-	98	2
P125109_02851	P125109_v1_chr	2676002	2676295	+	294	314
P125109_02852	P125109_v1_chr	2676299	2677075	-	777	343
P125109_02853	P125109_v1_chr	2677090	2677269	+	180	1
P125109_02854	P125109_v1_chr	2677185	2678468	-	1284	219
P125109_02855	P125109_v1_chr	2678646	2678846	-	201	89
P125109_02856	P125109_v1_chr	2678858	2679193	-	336	102
P125109_02857	P125109_v1_chr	2679195	2681045	-	1851	307
P125109_02858	P125109_v1_chr	2681058	2681573	-	516	12
P125109_02859	P125109_v1_chr	2681769	2682092	-	324	187
P125109_02860	P125109_v1_chr	2682121	2682507	-	387	8
P125109_02861	P125109_v1_chr	2682535	2683749	-	1215	180
P125109_02862	P125109_v1_chr	2683930	2684424	-	495	64
P125109_02863	P125109_v1_chr	2684584	2685315	-	732	731
P125109_02864	P125109_v1_chr	2685434	2686237	+	804	49
P125109_02865	P125109_v1_chr	2686382	2687260	+	879	2100
P125109_02866	P125109_v1_chr	2687442	2688485	+	1044	897
P125109_02867	P125109_v1_chr	2688489	2689307	+	819	401
P125109_02868	P125109_v1_chr	2689318	2690331	+	1014	598
P125109_02869	P125109_v1_chr	2690332	2691318	-	987	319
P125109_02870	P125109_v1_chr	2691309	2691947	-	639	502
P125109_02871	P125109_v1_chr	2692073	2693350	+	1278	506
P125109_02872	P125109_v1_chr	2693345	2694484	-	1140	429
P125109_02873	P125109_v1_chr	2694680	2695933	-	1254	15
P125109_02874	P125109_v1_chr	2696258	2697448	+	1191	265
P125109_02875	P125109_v1_chr	2697630	2699174	+	1545	4537
P125109_02876	P125109_v1_chr	2699535	2700866	+	1332	1793
P125109_02877	P125109_v1_chr	2700949	2703093	+	2145	1398
P125109_02878	P125109_v1_chr	2703149	2704609	+	1461	649
P125109_02879	P125109_v1_chr	2704658	2704996	-	339	8
P125109_02880	P125109_v1_chr	2705073	2706410	-	1338	644
P125109_02881	P125109_v1_chr	2706407	2707093	-	687	236
P125109_02882	P125109_v1_chr	2707173	2708558	-	1386	957
P125109_02883	P125109_v1_chr	2708663	2708846	-	184	103
P125109_02884	P125109_v1_chr	2709253	2713140	-	3888	59
P125109_02885	P125109_v1_chr	2713396	2714940	+	1545	987
